titre,auteur,groupe,langue,I,T,N_rev,S,FL,MS,Omega,U,DR,LP,E_emo,E_cog,CE,Arc_rev,R,W,PVI,SP,Q_prose,ventes_rang,confiance,goulots,FL_source,FL_proxy_original
Go Tell It on the Mountain,James Baldwin,EN-C,EN,0.72,0.72,2,0.52,0.3,0.8,0.62,0.78,0.25,0.3,0.6558,0.23,2.8511,1.0,0.6092,0.589,1.0231,20.4626,82,,E,,PROXY_no_pattern,0.3
Freedom,Jonathan Franzen,EN-C,EN,0.65,0.68,3,0.52,0.3,0.75,0.62,0.78,0.28,0.35,0.6051,0.2472,2.4473,1.2,0.6203,0.5582,1.017,20.34,78,,E,,PROXY_no_pattern,0.3
Tess of the d'Urbervilles,Thomas Hardy,EN-C,EN,0.65,0.75,3,0.55,0.38,0.8,0.68,0.82,0.3,0.4,0.6366,0.291,2.1877,1.2,0.6399,0.5953,1.0001,20.0021,82,,E,,PROXY_no_pattern,0.38
Bring Up the Bodies,Hilary Mantel,EN-A,EN,0.62,0.78,3,0.58,0.38,0.8,0.72,0.82,0.35,0.4,0.6375,0.301,2.1181,1.2,0.6378,0.6016,0.9753,19.5051,82,3,E,,PROXY_no_pattern,0.38
The Left Hand of Darkness,Ursula K. Le Guin,EN-C,EN,0.62,0.78,2,0.58,0.28,0.78,0.65,0.82,0.25,0.3,0.6375,0.2224,2.8666,1.0,0.5905,0.5676,0.9608,19.2153,82,,E,,PROXY_no_pattern,0.28
The Quiet American,Graham Greene,EN-C,EN,0.62,0.75,2,0.55,0.28,0.78,0.68,0.8,0.25,0.28,0.6212,0.2194,2.8316,1.0,0.5818,0.5783,0.9527,19.0543,80,,E,,PROXY_no_pattern,0.28
Far from the Madding Crowd,Thomas Hardy,EN-C,EN,0.62,0.72,3,0.52,0.35,0.78,0.68,0.78,0.28,0.38,0.605,0.2722,2.2221,1.2,0.621,0.5744,0.9513,19.0258,80,,E,,PROXY_no_pattern,0.35
Song of Solomon,Toni Morrison,EN-B,EN,0.65,0.75,3,0.55,0.1835,0.85,0.65,0.82,0.32,0.4,0.6366,0.2043,3.1164,1.2,0.6399,0.5808,1.3899,27.7975,90,,E,,NLP_v2,0.4
The Remains of the Day,Kazuo Ishiguro,EN-C,EN,0.62,0.72,2,0.48,0.28,0.85,0.72,0.82,0.25,0.3,0.5982,0.2175,2.7502,1.0,0.573,0.6016,0.9479,18.9587,86,,E,,PROXY_no_pattern,0.28
Down and Out in Paris and London,George Orwell,EN-C,EN,0.62,0.72,2,0.5,0.22,0.7,0.55,0.72,0.2,0.25,0.6016,0.182,3.3053,1.0,0.573,0.498,0.9431,18.8626,72,,E,W<0.50,PROXY_no_pattern,0.22
Clear and Present Danger,Tom Clancy,EN-A,EN,0.6,0.75,3,0.68,0.35,0.55,0.75,0.72,0.32,0.38,0.6331,0.3004,2.1077,1.2,0.6225,0.5881,0.9258,18.5166,52,5,E,,PROXY_no_pattern,0.35
The Garden of Eden,Ernest Hemingway,EN-C,EN,0.58,0.72,2,0.42,0.2,0.8,0.52,0.72,0.18,0.25,0.5676,0.1635,3.4718,1.0,0.5582,0.4651,0.9013,18.0264,82,,P,W<0.50,PROXY_no_pattern,0.2
The Time Machine,H.G. Wells,EN-C,EN,0.58,0.75,2,0.62,0.28,0.68,0.65,0.8,0.22,0.28,0.6127,0.2204,2.7797,1.0,0.5671,0.5459,0.8605,17.2098,70,,E,,PROXY_no_pattern,0.28
The Virgin Suicides,Jeffrey Eugenides,EN-C,EN,0.58,0.78,2,0.6,0.28,0.82,0.55,0.82,0.22,0.28,0.6203,0.2106,2.9452,1.0,0.5759,0.5,0.8481,16.9617,82,,E,,PROXY_no_pattern,0.28
The Picture of Dorian Gray,Oscar Wilde,EN-C,EN,0.62,0.72,2,0.58,0.32,0.82,0.68,0.85,0.28,0.32,0.6152,0.2464,2.4966,1.0,0.573,0.5881,0.8412,16.8246,85,,E,,PROXY_no_pattern,0.32
Invisible Man,Ralph Ellison,EN-B,EN,0.62,0.72,3,0.58,0.4,0.82,0.62,0.85,0.35,0.4,0.6152,0.308,1.9973,1.2,0.621,0.5587,0.8317,16.6331,88,,E,,PROXY_no_pattern,0.4
The Heart Is a Lonely Hunter,Carson McCullers,EN-B,EN,0.68,0.72,2,0.5,0.35,0.82,0.58,0.82,0.28,0.35,0.632,0.2642,2.3918,1.0,0.5948,0.5597,0.7963,15.9266,86,,E,,PROXY_no_pattern,0.35
The Power and the Glory,Graham Greene,EN-C,EN,0.6,0.72,2,0.5,0.3,0.78,0.65,0.78,0.28,0.32,0.5914,0.2405,2.459,1.0,0.5656,0.5508,0.7661,15.3226,82,,E,,PROXY_no_pattern,0.3
Red Storm Rising,Tom Clancy,EN-A,EN,0.55,0.72,3,0.65,0.35,0.55,0.72,0.68,0.32,0.38,0.5915,0.3004,1.9692,1.2,0.596,0.5434,0.7654,15.307,50,6,P,,PROXY_no_pattern,0.35
Middlemarch,George Eliot,EN-C,EN,0.6,0.72,3,0.48,0.42,0.82,0.68,0.8,0.35,0.48,0.588,0.3289,1.7878,1.2,0.614,0.5695,0.7502,15.0036,86,,E,,PROXY_no_pattern,0.42
The Member of the Wedding,Carson McCullers,EN-B,EN,0.65,0.68,2,0.45,0.32,0.8,0.55,0.78,0.25,0.32,0.5932,0.242,2.4512,1.0,0.5722,0.5235,0.7343,14.6858,84,,E,,PROXY_no_pattern,0.32
A Good Man Is Hard to Find,Flannery O'Connor,EN-B,EN,0.55,0.72,2,0.72,0.35,0.82,0.68,0.82,0.25,0.3,0.6034,0.2507,2.4064,1.0,0.5471,0.5513,0.7258,14.5168,88,,E,,PROXY_no_pattern,0.35
An American Tragedy,Theodore Dreiser,EN-B,EN,0.62,0.68,3,0.55,0.42,0.72,0.65,0.78,0.35,0.48,0.5951,0.3394,1.7535,1.2,0.6097,0.5597,0.7181,14.3612,78,,E,,PROXY_no_pattern,0.42
Frankenstein,Mary Shelley,EN-C,EN,0.62,0.72,2,0.58,0.38,0.72,0.68,0.9,0.3,0.38,0.6152,0.2956,2.0811,1.0,0.573,0.5977,0.7127,14.2545,75,,E,,PROXY_no_pattern,0.38
Lady Chatterley's Lover,D.H. Lawrence,EN-B,EN,0.65,0.72,2,0.5,0.38,0.78,0.58,0.78,0.28,0.38,0.6168,0.2859,2.1574,1.0,0.5839,0.5384,0.6783,13.5662,82,,E,,PROXY_no_pattern,0.38
Libra,Don DeLillo,EN-B,EN,0.55,0.72,3,0.58,0.4,0.78,0.62,0.82,0.38,0.42,0.5796,0.321,1.8056,1.2,0.596,0.5215,0.6735,13.4696,84,,E,,PROXY_no_pattern,0.4
The Human Stain,Philip Roth,EN-B,EN,0.58,0.68,3,0.55,0.42,0.8,0.62,0.82,0.38,0.42,0.5751,0.328,1.7532,1.2,0.5953,0.5349,0.67,13.4001,86,,E,,PROXY_no_pattern,0.42
Tender Is the Night,F. Scott Fitzgerald,EN-C,EN,0.58,0.72,2,0.48,0.3,0.85,0.55,0.78,0.28,0.35,0.5778,0.2398,2.4102,1.0,0.5582,0.492,0.662,13.2392,87,,E,W<0.50,PROXY_no_pattern,0.3
Portnoy's Complaint,Philip Roth,EN-B,EN,0.65,0.68,2,0.62,0.38,0.78,0.58,0.82,0.32,0.38,0.6221,0.2939,2.1167,1.0,0.5722,0.5464,0.6618,13.2359,84,,E,,PROXY_no_pattern,0.38
Henderson the Rain King,Saul Bellow,EN-B,EN,0.58,0.72,3,0.55,0.42,0.78,0.55,0.8,0.38,0.42,0.5897,0.3301,1.7865,1.2,0.6068,0.496,0.6453,12.9055,84,,E,W<0.50,PROXY_no_pattern,0.42
Sula,Toni Morrison,EN-B,EN,0.62,0.7,2,0.52,0.38,0.85,0.58,0.78,0.3,0.38,0.5975,0.2833,2.1094,1.0,0.5671,0.525,0.628,12.5601,88,,E,,PROXY_no_pattern,0.38
Ethan Frome,Edith Wharton,EN-B,EN,0.6,0.68,2,0.5,0.38,0.78,0.65,0.75,0.28,0.35,0.5766,0.2814,2.049,1.0,0.5538,0.5449,0.6183,12.3659,82,,E,,PROXY_no_pattern,0.38
Adventures of Augie March,Saul Bellow,EN-B,EN,0.6,0.68,3,0.48,0.42,0.8,0.52,0.78,0.38,0.42,0.5732,0.328,1.7476,1.2,0.6025,0.486,0.6141,12.2817,85,,E,W<0.50,PROXY_no_pattern,0.42
The House of Mirth,Edith Wharton,EN-B,EN,0.62,0.68,2,0.52,0.42,0.8,0.68,0.8,0.35,0.42,0.59,0.322,1.8324,1.0,0.5612,0.5783,0.5947,11.8948,84,,E,,PROXY_no_pattern,0.42
A Passage to India,E.M. Forster,EN-C,EN,0.58,0.72,2,0.5,0.35,0.78,0.58,0.75,0.3,0.38,0.5812,0.2762,2.104,1.0,0.5582,0.501,0.5884,11.7689,82,,E,,PROXY_no_pattern,0.35
Independence Day,Richard Ford,EN-C,EN,0.6,0.68,2,0.42,0.32,0.78,0.55,0.72,0.3,0.38,0.563,0.2626,2.1439,1.0,0.5538,0.489,0.5806,11.6118,82,,E,W<0.50,PROXY_no_pattern,0.32
Rabbit Redux,John Updike,EN-C,EN,0.6,0.65,2,0.48,0.32,0.78,0.55,0.75,0.3,0.38,0.5621,0.2626,2.1405,1.0,0.5449,0.495,0.5773,11.5466,82,,E,W<0.50,PROXY_no_pattern,0.32
Light in August,William Faulkner,EN-B,EN,0.55,0.7,3,0.52,0.52,0.85,0.58,0.8,0.38,0.5,0.5622,0.3785,1.4852,1.2,0.5903,0.4975,0.5234,10.4671,90,,E,W<0.50,PROXY_no_pattern,0.52
Lolita,Vladimir Nabokov,EN-B,EN,0.55,0.78,2,0.62,0.9027,0.92,0.58,0.9,0.38,0.42,0.6082,0.5181,1.1737,1.0,0.5649,0.5175,0.3431,6.8622,94,,E,,NLP_v2,0.48
Tree of Smoke,Denis Johnson,EN-B,EN,0.52,0.72,3,0.55,0.42,0.78,0.52,0.75,0.38,0.45,0.5593,0.3346,1.6714,1.2,0.5852,0.4442,0.5214,10.4276,84,,E,GOULOT-I|W<0.50,PROXY_no_pattern,0.42
At the Mountains of Madness,H.P. Lovecraft,EN-C,EN,0.52,0.78,2,0.65,0.38,0.72,0.55,0.78,0.3,0.38,0.5977,0.2956,2.0221,1.0,0.5538,0.4651,0.5208,10.4157,70,,E,GOULOT-I|W<0.50,PROXY_no_pattern,0.38
The Sportswriter,Richard Ford,EN-C,EN,0.58,0.65,2,0.4,0.32,0.78,0.52,0.72,0.3,0.38,0.5386,0.2626,2.0508,1.0,0.5374,0.4651,0.5126,10.2515,82,,E,W<0.50,PROXY_no_pattern,0.32
Howards End,E.M. Forster,EN-C,EN,0.55,0.68,2,0.45,0.35,0.78,0.58,0.72,0.3,0.38,0.543,0.2762,1.9656,1.0,0.5352,0.4815,0.5065,10.1307,82,,E,W<0.50,PROXY_no_pattern,0.35
The Turn of the Screw,Henry James,EN-B,EN,0.58,0.72,2,0.62,0.45,0.82,0.55,0.8,0.35,0.42,0.6016,0.3333,1.8054,1.0,0.5582,0.496,0.4999,9.9976,87,,E,W<0.50,PROXY_no_pattern,0.45
Sons and Lovers,D.H. Lawrence,EN-B,EN,0.6,0.68,2,0.45,0.42,0.8,0.55,0.72,0.32,0.42,0.5681,0.316,1.7978,1.0,0.5538,0.489,0.4868,9.737,84,,E,W<0.50,PROXY_no_pattern,0.42
Babbitt,Sinclair Lewis,EN-B,EN,0.55,0.65,2,0.48,0.38,0.72,0.55,0.78,0.32,0.4,0.5372,0.3026,1.7754,1.0,0.5262,0.4785,0.447,8.9409,78,,E,W<0.50,PROXY_no_pattern,0.38
The Scarlet Letter,Nathaniel Hawthorne,EN-B,EN,0.55,0.68,2,0.48,0.48,0.82,0.62,0.82,0.38,0.48,0.5481,0.3616,1.5158,1.0,0.5352,0.5215,0.423,8.4609,85,,E,,PROXY_no_pattern,0.48
White Noise,Don DeLillo,EN-B,EN,0.55,0.65,2,0.55,0.2359,0.78,0.55,0.78,0.38,0.4,0.5491,0.2433,2.2567,1.0,0.5262,0.4785,0.5682,11.3649,85,,E,W<0.50,NLP_v2,0.42
Sister Carrie,Theodore Dreiser,EN-B,EN,0.58,0.65,2,0.48,0.42,0.7,0.55,0.72,0.35,0.45,0.5522,0.337,1.6384,1.0,0.5374,0.48,0.4227,8.4534,76,,E,W<0.50,PROXY_no_pattern,0.42
Jazz,Toni Morrison,EN-B,EN,0.55,0.68,2,0.5,0.45,0.9,0.52,0.75,0.35,0.42,0.5515,0.3243,1.7008,1.0,0.5352,0.4576,0.4165,8.3309,91,,E,W<0.50,PROXY_no_pattern,0.45
Main Street,Sinclair Lewis,EN-B,EN,0.55,0.65,2,0.45,0.38,0.72,0.52,0.72,0.32,0.42,0.5321,0.3056,1.7412,1.0,0.5262,0.4517,0.4138,8.2769,78,,E,W<0.50,PROXY_no_pattern,0.38
Heart of Darkness,Joseph Conrad,EN-B,EN,0.52,0.75,2,0.55,0.48,0.85,0.55,0.82,0.38,0.48,0.57,0.358,1.5922,1.0,0.5449,0.473,0.4104,8.2074,90,,E,GOULOT-I|W<0.50,PROXY_no_pattern,0.48
Underworld,Don DeLillo,EN-B,EN,0.48,0.68,3,0.5,0.2307,0.82,0.52,0.8,0.45,0.52,0.5164,0.2707,1.9078,1.2,0.5587,0.4363,0.5581,11.1627,88,,E,GOULOT-I|W<0.50,NLP_v2,0.48
Franny and Zooey,J.D. Salinger,EN-C,EN,0.68,0.68,1,0.45,0.22,0.78,0.48,0.78,0.2,0.25,0.6083,0.1776,3.4249,0.5,0.4591,0.502,0.3947,7.8931,80,,E,R<0.50|GOULOT-ARC,PROXY_no_pattern,0.22
Orlando,Virginia Woolf,EN-B,EN,0.52,0.7,2,0.48,0.45,0.88,0.55,0.78,0.38,0.48,0.5402,0.3415,1.5818,1.0,0.53,0.4651,0.3899,7.7973,88,,E,GOULOT-I|W<0.50,PROXY_no_pattern,0.45
Lord Jim,Joseph Conrad,EN-B,EN,0.55,0.7,2,0.48,0.48,0.82,0.52,0.78,0.38,0.48,0.5554,0.3616,1.5358,1.0,0.5412,0.4636,0.3853,7.7055,88,,E,W<0.50,PROXY_no_pattern,0.48
As I Lay Dying,William Faulkner,EN-B,EN,0.52,0.68,2,0.55,0.1903,0.85,0.55,0.82,0.35,0.48,0.5449,0.2253,2.4192,1.0,0.524,0.473,0.5996,11.9923,90,,E,GOULOT-I|W<0.50,NLP_v2,0.5
Herzog,Saul Bellow,EN-B,EN,0.55,0.62,2,0.45,0.45,0.8,0.52,0.78,0.4,0.45,0.5213,0.35,1.4893,1.0,0.5172,0.4636,0.3571,7.1419,85,,E,W<0.50,PROXY_no_pattern,0.45
The Portrait of a Lady,Henry James,EN-B,EN,0.55,0.65,2,0.42,0.52,0.85,0.58,0.78,0.42,0.55,0.527,0.394,1.3376,1.0,0.5262,0.4935,0.3474,6.9474,90,,E,W<0.50,PROXY_no_pattern,0.52
Of Time and the River,Thomas Wolfe,EN-B,EN,0.55,0.72,2,0.42,0.48,0.8,0.45,0.72,0.38,0.52,0.5524,0.37,1.493,1.0,0.5471,0.4173,0.3408,6.8167,82,,E,W<0.50,PROXY_no_pattern,0.48
Suttree,Cormac McCarthy,EN-B,EN,0.52,0.75,2,0.48,0.319,0.88,0.45,0.8,0.38,0.52,0.5581,0.2912,1.9167,1.0,0.5449,0.4197,0.4383,8.7667,89,,E,GOULOT-I|W<0.50,NLP_v2,0.55
Bend Sinister,Vladimir Nabokov,EN-B,EN,0.48,0.65,2,0.55,0.52,0.88,0.48,0.78,0.42,0.45,0.5143,0.3751,1.3711,1.0,0.5,0.4129,0.2831,5.6612,90,,E,GOULOT-I|W<0.50,PROXY_no_pattern,0.52
Fall of the House of Usher,Edgar Allan Poe,EN-C,EN,0.55,0.78,1,0.68,0.35,0.78,0.58,0.82,0.28,0.32,0.6184,0.2632,2.3489,0.5,0.4405,0.5015,0.2595,5.1894,80,,E,R<0.50|GOULOT-ARC,PROXY_no_pattern,0.35
2666,Roberto Bolaño,EN-B,EN,0.42,0.68,4,0.55,0.52,0.82,0.35,0.8,0.48,0.55,0.4947,0.4099,1.207,1.2,0.5364,0.3309,0.2571,5.1423,90,,E,GOULOT-I|GOULOT-O|W<0.50,PROXY_no_pattern,0.52
Pale Fire,Vladimir Nabokov,EN-B,EN,0.42,0.65,2,0.68,0.3207,0.9,0.52,0.88,0.48,0.48,0.5066,0.3043,1.6647,1.0,0.4775,0.4256,0.3383,6.7655,95,,E,GOULOT-I|R<0.50|W<0.50,NLP_v2,0.55
Wings of the Dove,Henry James,EN-B,EN,0.5,0.62,2,0.4,0.55,0.85,0.52,0.75,0.45,0.58,0.4881,0.4176,1.1688,1.0,0.4985,0.4354,0.2537,5.0731,91,,E,GOULOT-I|R<0.50|W<0.50,PROXY_no_pattern,0.55
Titus Groan,Mervyn Peake,EN-B,EN,0.42,0.72,2,0.5,0.52,0.85,0.42,0.8,0.38,0.52,0.5,0.3815,1.3105,1.0,0.4985,0.3626,0.2369,4.738,88,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50,PROXY_no_pattern,0.52
My Ántonia,Willa Cather,EN-B,EN,0.6,0.72,1,0.38,0.35,0.82,0.55,0.72,0.28,0.35,0.571,0.2642,2.1608,0.5,0.4413,0.489,0.2331,4.6627,84,,E,R<0.50|W<0.50|GOULOT-ARC,PROXY_no_pattern,0.35
The Crying of Lot 49,Thomas Pynchon,EN-B,EN,0.45,0.62,2,0.62,0.52,0.78,0.42,0.78,0.48,0.42,0.5009,0.3956,1.2661,1.0,0.4798,0.3715,0.2256,4.5124,86,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50,PROXY_no_pattern,0.52
The Sound and the Fury,William Faulkner,EN-B,EN,0.42,0.62,2,0.5,0.1756,0.88,0.48,0.85,0.42,0.58,0.4657,0.2465,1.889,1.0,0.4685,0.4004,0.3543,7.0869,92,,E,GOULOT-I|R<0.50|W<0.50,NLP_v2,0.62
Mason & Dixon,Thomas Pynchon,EN-B,EN,0.38,0.62,3,0.55,0.68,0.82,0.4,0.82,0.6,0.62,0.4544,0.5156,0.8814,1.2,0.5035,0.3407,0.1815,3.6291,92,,E,GOULOT-I|GOULOT-O|GOULOT-FL|W<0.50,PROXY_no_pattern,0.68
Infinite Jest,David Foster Wallace,EN-B,EN,0.42,0.55,4,0.65,0.2937,0.82,0.35,0.85,0.62,0.65,0.4672,0.3522,1.3264,1.2,0.4975,0.3398,0.2691,5.3821,92,,E,GOULOT-I|GOULOT-O|GOULOT-FL|R<0.50|W<0.50,NLP_v2,0.68
Housekeeping,Marilynne Robinson,EN-B,EN,0.55,0.72,1,0.38,0.42,0.88,0.48,0.75,0.32,0.4,0.5456,0.3046,1.7912,0.5,0.4229,0.4378,0.1658,3.3163,90,,E,R<0.50|W<0.50|GOULOT-ARC,PROXY_no_pattern,0.42
V.,Thomas Pynchon,EN-B,EN,0.35,0.58,3,0.55,0.62,0.8,0.38,0.8,0.55,0.58,0.4264,0.476,0.8957,1.2,0.4803,0.3165,0.1634,3.2673,90,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50,PROXY_no_pattern,0.62
Lila,Marilynne Robinson,EN-B,EN,0.55,0.68,1,0.35,0.4,0.85,0.48,0.72,0.3,0.38,0.526,0.292,1.8014,0.5,0.4112,0.4319,0.16,3.1994,88,,E,R<0.50|W<0.50|GOULOT-ARC,PROXY_no_pattern,0.4
"Absalom, Absalom!",William Faulkner,EN-B,EN,0.38,0.6,2,0.45,0.65,0.9,0.45,0.82,0.45,0.65,0.4307,0.4637,0.9287,1.0,0.4477,0.3635,0.1512,3.0232,93,,E,GOULOT-I|R<0.50|W<0.50,PROXY_no_pattern,0.65
Mrs Dalloway,Virginia Woolf,EN-B,EN,0.5,0.72,1,0.4,0.2437,0.92,0.52,0.7,0.4,0.55,0.5236,0.2649,1.9769,0.5,0.4047,0.4256,0.1702,3.4046,89,,E,GOULOT-I|R<0.50|W<0.50|GOULOT-ARC,NLP_v2,0.48
Gravity's Rainbow,Thomas Pynchon,EN-B,EN,0.3,0.55,4,0.62,0.2902,0.85,0.35,0.85,0.65,0.7,0.4042,0.362,1.1166,1.2,0.4526,0.2932,0.1778,3.5561,94,,E,GOULOT-I|GOULOT-O|GOULOT-FL|R<0.50|W<0.50,NLP_v2,0.72
To the Lighthouse,Virginia Woolf,EN-B,EN,0.48,0.7,1,0.38,0.2137,0.92,0.48,0.68,0.42,0.58,0.503,0.2608,1.929,0.5,0.3917,0.3936,0.1487,2.9747,91,,E,GOULOT-I|R<0.50|W<0.50|GOULOT-ARC,NLP_v2,0.5
End Zone,Don DeLillo,EN-B,EN,0.48,0.6,1,0.45,0.42,0.75,0.42,0.72,0.35,0.4,0.4797,0.3242,1.4794,0.5,0.3635,0.3729,0.1003,2.0053,80,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC,PROXY_no_pattern,0.42
The Rings of Saturn,W.G. Sebald,EN-B,EN,0.42,0.72,1,0.38,0.48,0.88,0.35,0.75,0.5,0.48,0.4796,0.3784,1.2673,0.5,0.3761,0.3221,0.0768,1.5355,92,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC,PROXY_no_pattern,0.48
Blood Meridian,Cormac McCarthy,EN-B,EN,0.35,0.75,1,0.55,0.297,0.9,0.4,0.88,0.45,0.55,0.4829,0.2987,1.6165,0.5,0.3601,0.3394,0.0988,1.9755,90,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC,NLP_v2,0.6
Vertigo,W.G. Sebald,EN-B,EN,0.4,0.68,1,0.4,0.48,0.85,0.35,0.72,0.48,0.45,0.4592,0.3735,1.2295,0.5,0.358,0.3092,0.068,1.3608,90,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC,PROXY_no_pattern,0.48
The Waves,Virginia Woolf,EN-B,EN,0.35,0.65,1,0.35,0.2835,0.95,0.35,0.72,0.48,0.62,0.4156,0.3059,1.3585,0.5,0.3329,0.2903,0.0656,1.3129,93,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC,NLP_v2,0.58
Naked Lunch,William S. Burroughs,EN-B,EN,0.28,0.48,1,0.58,0.7,0.72,0.2,0.78,0.52,0.55,0.3652,0.5155,0.7084,0.5,0.2682,0.2189,0.0208,0.4158,82,,E,GOULOT-I|GOULOT-O|GOULOT-FL|R<0.50|W<0.50|GOULOT-ARC,PROXY_no_pattern,0.7
